date,value,Indicator
2014-12-01,2.3326,Exchange Rate
2015-01-01,2.337,Exchange Rate
2015-02-01,2.4634,Exchange Rate
2015-03-01,2.5912,Exchange Rate
2015-04-01,2.6666,Exchange Rate
2015-05-01,2.6451,Exchange Rate
2015-06-01,2.702,Exchange Rate
2015-07-01,2.7015,Exchange Rate
2015-08-01,2.8563,Exchange Rate
2015-09-01,3.0153,Exchange Rate
2015-10-01,2.9272,Exchange Rate
2015-11-01,2.8736,Exchange Rate
2015-12-01,2.9233,Exchange Rate
2016-01-01,3.0123,Exchange Rate
2016-02-01,2.9424,Exchange Rate
2016-03-01,2.8899,Exchange Rate
2016-04-01,2.8341,Exchange Rate
2016-05-01,2.9383,Exchange Rate
2016-06-01,2.9155,Exchange Rate
2016-07-01,2.9623,Exchange Rate
2016-08-01,2.9618,Exchange Rate
2016-09-01,2.9686,Exchange Rate
2016-10-01,3.0758,Exchange Rate
2016-11-01,3.2894,Exchange Rate
2016-12-01,3.5018,Exchange Rate
2017-01-01,3.7555,Exchange Rate
2017-02-01,3.6652,Exchange Rate
2017-03-01,3.6718,Exchange Rate
2017-04-01,3.6516,Exchange Rate
2017-05-01,3.5689,Exchange Rate
2017-06-01,3.5224,Exchange Rate
2017-07-01,3.5638,Exchange Rate
2017-08-01,3.5097,Exchange Rate
2017-09-01,3.473,Exchange Rate
2017-10-01,3.6779,Exchange Rate
2017-11-01,3.8943,Exchange Rate
2017-12-01,3.8451,Exchange Rate
2018-01-01,3.7729,Exchange Rate
2018-02-01,3.783,Exchange Rate
2018-03-01,3.8904,Exchange Rate
2018-04-01,4.073,Exchange Rate
2018-05-01,4.4463,Exchange Rate
2018-06-01,4.6307,Exchange Rate
2018-07-01,4.7708,Exchange Rate
2018-08-01,5.9314,Exchange Rate
2018-09-01,6.3342,Exchange Rate
2018-10-01,5.8263,Exchange Rate
2018-11-01,5.3574,Exchange Rate
2018-12-01,5.3259,Exchange Rate
2019-01-01,5.375,Exchange Rate
2019-02-01,5.276,Exchange Rate
2019-03-01,5.4841,Exchange Rate
2019-04-01,5.7579,Exchange Rate
2019-05-01,6.0524,Exchange Rate
2019-06-01,5.8106,Exchange Rate
2019-07-01,5.6628,Exchange Rate
2019-08-01,5.6509,Exchange Rate
2019-09-01,5.7038,Exchange Rate
2019-10-01,5.7925,Exchange Rate
2019-11-01,5.7389,Exchange Rate
2019-12-01,5.8506,Exchange Rate
2020-01-01,5.9285,Exchange Rate
2020-02-01,6.0704,Exchange Rate
2020-03-01,6.3452,Exchange Rate
2020-04-01,6.8697,Exchange Rate
2020-05-01,6.9287,Exchange Rate
2020-06-01,6.8245,Exchange Rate
2020-07-01,6.8774,Exchange Rate
2020-08-01,7.2827,Exchange Rate
2020-09-01,7.5551,Exchange Rate
2020-10-01,7.9577,Exchange Rate
2020-11-01,7.9857,Exchange Rate
2020-12-01,7.7098,Exchange Rate
2021-01-01,7.3998,Exchange Rate
2021-02-01,7.0909,Exchange Rate
2021-03-01,7.6751,Exchange Rate
2021-04-01,8.1753,Exchange Rate
2021-05-01,8.3856,Exchange Rate
2021-06-01,8.6188,Exchange Rate
2021-07-01,8.5931,Exchange Rate
2021-08-01,8.4771,Exchange Rate
2021-09-01,8.5559,Exchange Rate
2021-10-01,9.2061,Exchange Rate
2021-11-01,10.7316,Exchange Rate
2021-12-01,13.6284,Exchange Rate
2022-01-01,13.5689,Exchange Rate
2022-02-01,13.6582,Exchange Rate
2022-03-01,14.6327,Exchange Rate
2022-04-01,14.726,Exchange Rate
2022-05-01,15.6334,Exchange Rate
2022-06-01,16.9999,Exchange Rate
2022-07-01,17.4787,Exchange Rate
2022-08-01,18.0395,Exchange Rate
2022-09-01,18.3244,Exchange Rate
2022-10-01,18.5895,Exchange Rate
2022-11-01,18.613,Exchange Rate
2022-12-01,18.6623,Exchange Rate
2023-01-01,18.7863,Exchange Rate
2023-02-01,18.8504,Exchange Rate
2023-03-01,19.0069,Exchange Rate
2023-04-01,19.3536,Exchange Rate
2023-05-01,19.779,Exchange Rate
2023-06-01,23.7622,Exchange Rate
2023-07-01,26.513,Exchange Rate
2023-08-01,26.9305,Exchange Rate
2023-09-01,27.0183,Exchange Rate
2023-10-01,27.8815,Exchange Rate
2023-11-01,28.6601,Exchange Rate
2023-12-01,29.0949,Exchange Rate
2024-01-01,30.0933,Exchange Rate
2024-02-01,30.815,Exchange Rate
2024-03-01,32.0293,Exchange Rate
2024-04-01,32.3403,Exchange Rate
2024-05-01,32.2417,Exchange Rate
2024-06-01,32.5942,Exchange Rate
2024-07-01,32.9177,Exchange Rate
2024-08-01,33.6964,Exchange Rate
2024-09-01,34.0567,Exchange Rate
2024-10-01,34.25,Exchange Rate
2024-11-01,34.454,Exchange Rate
2024-12-01,34.985,Exchange Rate
2025-01-01,35.5507,Exchange Rate
2025-02-01,36.1986,Exchange Rate
2025-03-01,37.1682,Exchange Rate
2025-04-01,38.1409,Exchange Rate
2025-05-01,38.8282,Exchange Rate
2025-06-01,39.4512,Exchange Rate
2025-07-01,40.2377,Exchange Rate
2025-08-01,40.8358,Exchange Rate
2025-09-01,41.3316,Exchange Rate
2025-10-01,41.856,Exchange Rate
2025-11-01,42.2922,Exchange Rate
2025-12-01,42.6767,Exchange Rate
2026-01-01,43.2301,Exchange Rate
2026-02-01,43.7058,Exchange Rate
2026-03-01,44.2058,Exchange Rate
2026-04-01,44.8031,Exchange Rate
2026-05-01,45.5396,Exchange Rate
2026-06-01,46.285,Exchange Rate
2026-07-01,47.0856,Exchange Rate
2026-08-01,47.8815,Exchange Rate
2026-09-01,48.3312,Exchange Rate
2015-01-01,234.747,Inflation
2015-02-01,235.342,Inflation
2015-03-01,235.976,Inflation
2015-04-01,236.222,Inflation
2015-05-01,237.001,Inflation
2015-06-01,237.657,Inflation
2015-07-01,238.034,Inflation
2015-08-01,238.033,Inflation
2015-09-01,237.498,Inflation
2015-10-01,237.733,Inflation
2015-11-01,238.017,Inflation
2015-12-01,237.761,Inflation
2016-01-01,237.652,Inflation
2016-02-01,237.336,Inflation
2016-03-01,238.08,Inflation
2016-04-01,238.992,Inflation
2016-05-01,239.557,Inflation
2016-06-01,240.222,Inflation
2016-07-01,240.101,Inflation
2016-08-01,240.545,Inflation
2016-09-01,241.176,Inflation
2016-10-01,241.741,Inflation
2016-11-01,242.026,Inflation
2016-12-01,242.637,Inflation
2017-01-01,243.618,Inflation
2017-02-01,244.006,Inflation
2017-03-01,243.892,Inflation
2017-04-01,244.193,Inflation
2017-05-01,244.004,Inflation
2017-06-01,244.163,Inflation
2017-07-01,244.243,Inflation
2017-08-01,245.183,Inflation
2017-09-01,246.435,Inflation
2017-10-01,246.626,Inflation
2017-11-01,247.284,Inflation
2017-12-01,247.805,Inflation
2018-01-01,248.859,Inflation
2018-02-01,249.529,Inflation
2018-03-01,249.577,Inflation
2018-04-01,250.227,Inflation
2018-05-01,250.792,Inflation
2018-06-01,251.018,Inflation
2018-07-01,251.214,Inflation
2018-08-01,251.663,Inflation
2018-09-01,252.182,Inflation
2018-10-01,252.772,Inflation
2018-11-01,252.594,Inflation
2018-12-01,252.767,Inflation
2019-01-01,252.561,Inflation
2019-02-01,253.319,Inflation
2019-03-01,254.277,Inflation
2019-04-01,255.233,Inflation
2019-05-01,255.296,Inflation
2019-06-01,255.213,Inflation
2019-07-01,255.802,Inflation
2019-08-01,256.036,Inflation
2019-09-01,256.43,Inflation
2019-10-01,257.155,Inflation
2019-11-01,257.879,Inflation
2019-12-01,258.63,Inflation
2020-01-01,259.127,Inflation
2020-02-01,259.25,Inflation
2020-03-01,258.076,Inflation
2020-04-01,256.032,Inflation
2020-05-01,255.802,Inflation
2020-06-01,257.042,Inflation
2020-07-01,258.352,Inflation
2020-08-01,259.316,Inflation
2020-09-01,259.997,Inflation
2020-10-01,260.319,Inflation
2020-11-01,260.911,Inflation
2020-12-01,262.045,Inflation
2021-01-01,262.687,Inflation
2021-02-01,263.579,Inflation
2021-03-01,264.961,Inflation
2021-04-01,266.614,Inflation
2021-05-01,268.383,Inflation
2021-06-01,270.654,Inflation
2021-07-01,271.903,Inflation
2021-08-01,272.676,Inflation
2021-09-01,273.91,Inflation
2021-10-01,276.55,Inflation
2021-11-01,278.919,Inflation
2021-12-01,280.845,Inflation
2022-01-01,282.543,Inflation
2022-02-01,284.5,Inflation
2022-03-01,287.674,Inflation
2022-04-01,288.561,Inflation
2022-05-01,291.298,Inflation
2022-06-01,294.957,Inflation
2022-07-01,294.913,Inflation
2022-08-01,295.097,Inflation
2022-09-01,296.349,Inflation
2022-10-01,298.007,Inflation
2022-11-01,298.786,Inflation
2022-12-01,298.832,Inflation
2023-01-01,300.42,Inflation
2023-02-01,301.45,Inflation
2023-03-01,301.821,Inflation
2023-04-01,302.845,Inflation
2023-05-01,303.334,Inflation
2023-06-01,304.014,Inflation
2023-07-01,304.609,Inflation
2023-08-01,306.082,Inflation
2023-09-01,307.276,Inflation
2023-10-01,307.696,Inflation
2023-11-01,308.148,Inflation
2023-12-01,308.741,Inflation
2024-01-01,309.698,Inflation
2024-02-01,310.967,Inflation
2024-03-01,312.345,Inflation
2024-04-01,313.023,Inflation
2024-05-01,313.175,Inflation
2024-06-01,313.044,Inflation
2024-07-01,313.569,Inflation
2024-08-01,314.062,Inflation
2024-09-01,314.732,Inflation
2024-10-01,315.631,Inflation
2024-11-01,316.528,Inflation
2024-12-01,317.604,Inflation
2025-01-01,318.961,Inflation
2025-02-01,319.679,Inflation
2025-03-01,319.785,Inflation
2025-04-01,320.302,Inflation
2025-05-01,320.62,Inflation
2025-06-01,321.435,Inflation
2025-07-01,322.169,Inflation
2025-08-01,323.291,Inflation
2025-09-01,324.245,Inflation
2025-11-01,325.063,Inflation
2025-12-01,326.031,Inflation
2026-01-01,326.588,Inflation
2026-02-01,327.46,Inflation
2026-03-01,330.293,Inflation
2026-04-01,332.407,Inflation
2026-05-01,333.979,Inflation
2026-06-01,332.568,Inflation
2026-07-01,332.813,Inflation
2015-01-01,0.11,Interest Rate
2015-02-01,0.11,Interest Rate
2015-03-01,0.11,Interest Rate
2015-04-01,0.12,Interest Rate
2015-05-01,0.12,Interest Rate
2015-06-01,0.13,Interest Rate
2015-07-01,0.13,Interest Rate
2015-08-01,0.14,Interest Rate
2015-09-01,0.14,Interest Rate
2015-10-01,0.12,Interest Rate
2015-11-01,0.12,Interest Rate
2015-12-01,0.24,Interest Rate
2016-01-01,0.34,Interest Rate
2016-02-01,0.38,Interest Rate
2016-03-01,0.36,Interest Rate
2016-04-01,0.37,Interest Rate
2016-05-01,0.37,Interest Rate
2016-06-01,0.38,Interest Rate
2016-07-01,0.39,Interest Rate
2016-08-01,0.4,Interest Rate
2016-09-01,0.4,Interest Rate
2016-10-01,0.4,Interest Rate
2016-11-01,0.41,Interest Rate
2016-12-01,0.54,Interest Rate
2017-01-01,0.65,Interest Rate
2017-02-01,0.66,Interest Rate
2017-03-01,0.79,Interest Rate
2017-04-01,0.9,Interest Rate
2017-05-01,0.91,Interest Rate
2017-06-01,1.04,Interest Rate
2017-07-01,1.15,Interest Rate
2017-08-01,1.16,Interest Rate
2017-09-01,1.15,Interest Rate
2017-10-01,1.15,Interest Rate
2017-11-01,1.16,Interest Rate
2017-12-01,1.3,Interest Rate
2018-01-01,1.41,Interest Rate
2018-02-01,1.42,Interest Rate
2018-03-01,1.51,Interest Rate
2018-04-01,1.69,Interest Rate
2018-05-01,1.7,Interest Rate
2018-06-01,1.82,Interest Rate
2018-07-01,1.91,Interest Rate
2018-08-01,1.91,Interest Rate
2018-09-01,1.95,Interest Rate
2018-10-01,2.19,Interest Rate
2018-11-01,2.2,Interest Rate
2018-12-01,2.27,Interest Rate
2019-01-01,2.4,Interest Rate
2019-02-01,2.4,Interest Rate
2019-03-01,2.41,Interest Rate
2019-04-01,2.42,Interest Rate
2019-05-01,2.39,Interest Rate
